dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,name
-16.88476,-15.809801,-27.009882,-0.39048168,4.424071,-9.683448,1.5913862,7.5735254,-9.302479,-6.30705,5.1310496,-10.729568,-2.1387067,5.312314,-0.903314,-1.8076771,-2.4463456,2.5325522,-0.41040656,-1.1277958,-3.5396848,-1.9824404,2.0089438,4.4757857,2.386584,3.3486602,-7.114532,-3.0726497,1.2219498,3.0858462,-0.87424934,1.8116107,-3.9948213,-0.72976476,0.6837691,0.050189458,0.8850354,5.104431,-1.0753082,5.4150057,-8.712989e-05,0.22928663,2.7379978,-2.6407466,0.57596886,1.359626,1.9583391,0.8858388,0.7408621,-0.03682367,1.0139585,0.81532186,-0.68512636,0.20553727,1.2079653,0.080665946,-0.6924388,-1.8322738,-1.1342291,0.43233874,-0.041324336,0.12678044,0.9361353,-1.300423,590248V44501049.jpg
12.657678,-2.4256067,-9.35546,2.4490159,-4.611319,-3.5919247,-0.8435343,0.6572619,-0.24645019,-2.8102705,-1.0526295,-1.6134675,0.3919884,4.669826,8.787858,-1.087441,0.9754266,2.640107,6.4574313,-0.15191646,0.6271129,0.92068774,0.6083525,-4.0680165,-2.0473082,2.2702672,0.670078,1.7970961,-2.2068813,-1.5820991,-1.1582668,-5.1521435,1.9232186,0.16480994,3.5077155,-1.3067894,1.2923521,-2.4513884,0.6217131,0.23129652,4.210873,1.2118548,-0.49725688,0.54996705,0.6587658,-0.2890892,-2.490725,1.4968002,3.6054573,-2.7359924,1.6559826,1.3061526,-0.42775434,2.0083961,0.7493553,0.8555794,1.4388838,0.5841278,-1.3167942,1.303477,0.4056367,-1.2115923,-0.056897767,0.27922413,590248V44501398.jpg
7.2073493,-4.5094333,0.39538884,-10.027579,-1.7830852,0.19856654,-6.1194377,-3.1376889,-2.4508264,4.718143,-0.0705672,-0.2141011,3.2567651,-3.3832743,-2.7021668,-0.34631652,-0.44347766,-1.2056261,2.1539354,3.392648,-3.155924,-1.7547888,0.44196576,0.28367984,-1.1014403,1.9772812,1.6937504,0.29602182,0.97450525,-1.9326485,1.5306371,-0.33128077,-0.80055594,0.658979,0.16586635,-1.088136,-2.1893091,1.705625,-1.9903435,0.19520396,1.0972505,0.6111935,2.2053611,-0.07418829,-0.25817767,2.2338803,-0.14818138,-1.1441848,1.191839,-0.76024264,0.45496953,0.88548416,0.6428012,-1.0546459,-0.078048006,-0.82699084,-0.5447337,0.95992243,-0.5385802,1.9260136,-1.4394317,-0.6323147,0.47060618,-0.14477728,660165V23302819.jpg
-28.59131,29.54037,-46.62077,-9.813493,9.907681,29.860271,-6.659848,-10.91063,11.847847,2.822141,-7.443972,2.9255843,4.8568153,5.692408,-1.8570852,-2.0778885,1.615425,-2.465541,0.81914324,-0.041219458,3.7177267,1.891014,0.87432086,0.70906585,0.14334297,-1.0215656,-1.5029523,0.27312115,-1.0302957,0.65754205,1.107543,0.8929824,0.56829876,-1.7846354,0.07699316,-0.0062441467,0.5297068,-1.1645201,-0.9246131,-0.013124407,-0.84688324,-0.15697113,-0.8997166,0.72195506,-0.65746015,-0.2314597,-0.2513586,-0.5339732,0.21337762,-0.079636514,0.051157385,0.31302094,-0.16850714,-0.12243929,-0.0835418,-0.37057212,0.6131795,-0.14924061,0.20035087,0.009765172,-0.005106583,-0.16620319,0.087544486,-0.15656455,709304VCPQ38803.jpg
22.439278,0.25321576,-5.6898265,-4.7833495,-0.611893,1.7075315,0.3320666,-2.2573392,-3.574922,-0.91812485,2.5874934,-0.5289288,1.9649838,0.9424267,-1.8739763,-5.404809,-0.521313,1.9057614,-2.1668692,1.0814701,0.00038235943,-0.5682544,0.7649881,-0.63836867,-1.8915168,-3.2651403,1.4818146,2.05796,-0.43725425,-1.5524913,-0.98755807,-4.357494,-0.7939072,1.2331905,-0.68081784,0.6267917,-2.0070457,1.8686166,0.93941104,1.3509556,0.42798442,0.4580743,-0.819719,-1.2027189,-0.57996285,0.4982831,-1.5210226,2.111232,0.4407669,4.624533,-0.2834794,-0.88973385,2.2560534,0.74564165,-0.82227373,1.0536253,0.7424315,-1.4746096,1.0803032,0.70703983,-1.9244744,0.007948234,-1.7188762,-1.9405559,719771V44501251.jpg
-4.665165,-10.841072,-1.5224543,-6.4240384,-3.0321717,1.0501356,-3.3556209,-1.4739478,-1.816751,1.6966826,-0.11972737,1.1640204,-3.6301124,-0.88324153,2.3489933,-1.7671076,1.5324465,-0.0031159539,-1.4309953,-1.6574339,0.90612,-1.1763772,1.2685797,-0.65592974,0.37124527,0.1438695,-0.86744106,2.6933777,-1.2636021,1.2284276,-0.09858998,-3.4058206,-1.6543745,1.9626323,0.24293728,-1.5056131,1.1531061,-1.6034868,-0.254531,-0.89945143,-1.1058265,-1.1153892,-0.97759515,-0.5152472,-0.31055364,0.7009939,1.9124632,0.5717759,-1.4037454,-1.2638981,1.3972441,-0.26277062,-0.73105466,0.7719463,0.48217568,-0.64456195,-1.2799976,0.32978493,0.47708622,1.2604458,-1.0756567,0.8614431,-0.24657117,0.6157165,734056V2Q301049.jpg
4.026184,-6.60242,-0.61967033,-9.629741,-1.8378226,0.9937348,-6.5460176,-4.739517,-2.9974523,6.2860956,3.021241,-0.68055403,-1.6409162,-0.20833535,1.7433089,-2.4899988,0.15062037,1.2652192,-1.4950597,-3.362867,0.5181704,-3.04133,0.4237411,-0.4670714,-0.36211592,0.20636499,-1.8831141,5.7159777,-0.4161492,0.5300939,1.1380388,-6.680806,-1.8956535,2.9863844,1.9630382,1.2293757,-0.009262551,-1.6963344,-0.4352664,-1.1014056,0.093731016,-2.837549,-2.1167738,-0.46977717,0.7169217,1.3345116,1.5626748,0.18016216,-1.5561113,0.15243325,2.5384727,-1.7229831,-0.85715413,-0.98495567,0.72963214,0.5930537,0.15280442,0.92463887,0.24419819,0.9771108,-1.0396258,1.3473074,-0.78155416,-0.073608845,734056V2Q302819.jpg
-3.0832932,-3.8191996,3.3647316,0.5395578,0.7800279,0.72170484,2.536343,-3.046617,-8.147856,0.08882559,-0.4792542,3.2696662,-1.3631691,1.076577,1.4028804,-3.0716965,-0.09593131,-2.3115942,4.0748024,2.1508696,0.78779215,-1.4449438,-0.48043385,-1.6377372,3.3776467,-4.260189,1.3335441,-1.1456851,0.96303266,-1.2822231,1.6964074,0.47886774,0.56954163,-0.7388638,0.9591266,1.6896873,0.5399089,0.29747775,-0.8042128,1.622335,-3.2169642,0.2364006,-1.4218473,-0.027710104,-0.0020450605,-1.495538,1.4120617,0.11876285,1.0776802,0.31833154,-0.24361582,-1.9751469,-0.39048383,1.0419466,2.437476,-0.028151952,-1.3669543,-0.3488363,-0.3102066,-0.006809886,-0.29506233,0.8181555,0.61148524,-1.8567411,756459V2Q301049.jpg
-18.662962,-13.042349,-5.9650598,0.39109284,-3.83245,0.5469137,-1.8090343,1.3323581,-1.32916,-1.2231537,-1.5800407,0.6834309,-2.5632951,-3.6199093,0.25086746,-0.84948087,-0.6105226,1.2674831,0.6001941,-0.029982394,-0.6094315,0.34088412,0.22054158,0.8085775,0.64300925,0.50102687,1.6711972,3.4223118,-2.592,1.6411318,-2.5811887,-2.6439726,0.37046972,0.098833375,-2.9226747,1.080462,1.9404188,-1.7357948,1.9368669,-1.2036772,0.109383695,1.8102589,0.88039404,-0.9827899,1.2726628,0.26700646,1.6118152,2.0724273,0.48150536,0.54679406,-0.76274484,2.5645065,0.2009002,-1.374389,0.48134002,-1.0366893,-0.8984029,-0.9879869,-0.54744405,1.0781918,0.5288336,1.404687,-1.5158963,-0.7889051,756471V2Q301049.jpg
-11.879085,-8.904766,-5.0584297,-0.965961,-4.651694,-5.3801312,-9.406908,-0.72286224,-2.9764016,4.667633,2.269737,-2.3772435,3.5383937,-1.127329,3.2832618,-3.0319057,0.9422463,-1.635196,1.2033687,-0.16394669,-1.9622173,-0.26539955,0.13299571,-0.7503133,-0.11255943,0.740513,1.6041005,0.6142795,-1.341573,-0.5862621,-1.0185997,-1.4793712,1.2752851,1.3420796,-0.28779742,2.7974505,1.9321144,-1.1710786,-0.96526426,-1.1887903,-0.72024095,-0.0556316,0.49177352,-0.04851738,-1.4865597,0.26393116,-1.9013495,-0.10360429,0.3760543,-0.14470081,-0.9308833,0.9569922,-1.398732,-1.566629,0.30711818,-0.28414914,-1.1357515,-0.5229489,-2.3067505,-0.70141643,0.2557328,2.1189425,-0.44217125,0.54709524,756471V2Q302819.jpg
