Product Name,product_code,Price
D&G_1,VG4545VP1809V000,€315
D&G_2,VG4545VP1719V000,€315
D&G_3,VG4545VP1759V000,€315
D&G_4,VG302FVM10V9V000,€510
D&G_5,VG302FVM1559V000,€510
D&G_6,VG302FVM1719V000,€490
D&G_7,VG302FVM1739V000,€490
D&G_8,VG302FVM17J9V000,€510
D&G_9,VG302FVM18N9V000,€510
D&G_10,VG3138VM0179V000,€490
D&G_11,VG3138VM1719V000,€490
D&G_12,VG3138VM1729V000,€490
D&G_13,VG3138VM1739V000,€490
D&G_14,VG3138VM1849V000,€490
D&G_15,VG3138VM1859V000,€490
D&G_16,VG4541VP8039V000,€220
D&G_17,VG4541VP9879V000,€220
D&G_18,VG4541VP1879V000,€220
D&G_19,VG4541VP1839V000,€260
D&G_20,VG4543VP1879V000,€850
D&G_21,VG4544VP1879V000,€315
D&G_22,VG4543VP5879V000,€850
D&G_23,VG4544VP3639V000,€315
D&G_24,VG4554VP1879V000,€285
D&G_25,VG4554VP2739V000,€285
D&G_26,VG4554VP3029V000,€285
D&G_27,VG4530VP1859V000,€285
D&G_28,VG4553VP1809V000,€285
D&G_29,VG6205VN1879V000,€285
D&G_30,VG6205VN2739V000,€285
D&G_31,VG6205VN6699V000,€285
D&G_32,VG4545VP1879V000,€315
D&G_33,VG4545VP2739V000,€315
D&G_34,VG2336VM2879V000,€370
D&G_35,VG2336VM4879V000,€370
D&G_36,VG2336VM2739V000,€370
D&G_37,VG4541VP2739V000,€220
D&G_38,VG4544VP2739V000,€315
D&G_39,VG4542VP1879V000,€220
D&G_40,VG4542VP2809V000,€220
D&G_41,VG4542VP3719V000,€220
D&G_42,VG4542VP9819V000,€260
D&G_43,VG4542VP2739V000,€220
D&G_44,VG4544VP56G9V000,€315
D&G_45,VG6208VN1879V000,€285
D&G_46,VG6208VN2739V000,€285
D&G_47,VG6208VN9739V000,€285
D&G_48,VG4544VP4019V000,€315
D&G_49,VG4545VP4019V000,€315
D&G_50,VG4546VP1879V000,€370
D&G_51,VG4546VP2739V000,€370
D&G_52,VG4546VP4119V000,€370
D&G_53,VG4546VP6189V000,€370
D&G_54,VG6206VN1879V000,€240
D&G_55,VG6206VN2739V000,€240
D&G_56,VG6206VN3809V000,€240
D&G_57,VG6206VN4829V000,€240
D&G_58,VG6206VN56G9V000,€240
D&G_59,VG4520VP1879V000,€345
D&G_60,VG6204VN1879V000,€310
D&G_61,VG4516VP49A9V000,€325
D&G_62,VG2328VM6739V000,€345
D&G_63,VG2328VM3879V000,€345
D&G_64,VG2327VM3879V000,€345
D&G_65,VG4516VP7139V000,€285
D&G_66,VG4521VP2739V000,€315
D&G_67,VG4521VP1879V000,€315
D&G_68,VG6204VN2879V000,€240
D&G_69,VG4522VP11W9V000,€345
D&G_70,VG4521VP21W9V000,€315
D&G_71,VG4515VP4719V000,€285
D&G_72,VG4496VP2739V000,€315
D&G_73,VG4530VP5879V000,€285
D&G_74,VG4530VP21W9V000,€285
D&G_75,VG4530VP2739V000,€285
D&G_76,VG4521VP11W9V000,€315
D&G_77,VG450AVP2739V000,€315
D&G_78,VG4477VP1879V000,€370
D&G_79,VG4506VP2739V000,€370
D&G_80,VG2315VM2039V000,€775
D&G_81,VG4516VP3879V000,€285
D&G_82,VG4507VP56G9V000,€315
D&G_83,VG4507VP1879V000,€315
D&G_84,VG4496VP1879V000,€315
D&G_85,VG450AVP1879V000,€315
D&G_86,VG446EVP1879V000,€345
D&G_87,VG4506VP1879V000,€370
D&G_88,VG446EVP2739V000,€345
D&G_89,VG2302VM2539V000,€475
D&G_90,VG2302VM4569V000,€475
D&G_91,VG2302VM2R59V000,€475
D&G_92,VG448AVP3929V000,€350
D&G_93,VG4451VP3879V000,€285
D&G_94,VG3294VP4319V000,€300
D&G_95,VG3294VP5B19V000,€300
D&G_96,VG443BVP1879V000,€285
D&G_97,VG6184VN1879V000,€240
D&G_98,VG2233VM1879V000,€310
D&G_99,VG448BVP1879V000,€350
D&G_100,VG448AVP2719V000,€350
D&G_101,VG2302VM2589V000,€525
D&G_102,VG440AVP1879V000,€240
D&G_103,VG4390VP1879V000,€320
D&G_104,VG4390VP2739V000,€320
D&G_105,VG2285VM2819V000,€325
D&G_106,VG433CVP1879V000,€315
D&G_107,VG4338VP11W9V000,€285
D&G_108,VG6177VN1879V000,€240
D&G_109,VG2258VM66G9V000,€504
D&G_110,VG2241VM1879V000,€800
D&G_111,VG2241VM2739V000,€800
D&G_112,VG442AVP1819V000,€260
D&G_113,VG3294VP3B19V000,€300
D&G_114,VG4545VP6829V000,€315
